,index,canonical_smiles,standard_value,bioactivity_binary,bioactivity_binary_class,bioactivity_multiclass
7509,7797,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccccc2)c1,256.0,inactive,0,intermediate
7510,7798,CC(C)(C)c1ccccc1/N=C/c1cc([N+](=O)[O-])ccc1O,256.0,inactive,0,intermediate
7511,7799,CC(C)(C)c1cccc(/N=C/c2cc([N+](=O)[O-])ccc2O)c1,128.0,inactive,0,intermediate
7512,7800,CC(C)(C)c1ccc(/N=C/c2cc([N+](=O)[O-])ccc2O)cc1,256.0,inactive,0,intermediate
7513,7801,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccccc2O)c1,128.0,inactive,0,intermediate
7514,7802,O=[N+]([O-])c1ccc(O)c(/C=N/c2cccc(O)c2)c1,256.0,inactive,0,intermediate
7515,7803,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccc(O)cc2)c1,256.0,inactive,0,intermediate
7516,7804,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccccc2Cl)c1,256.0,inactive,0,intermediate
7517,7805,O=[N+]([O-])c1ccc(O)c(/C=N/c2cccc(Cl)c2)c1,256.0,inactive,0,intermediate
7518,7806,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccc(Cl)cc2)c1,256.0,inactive,0,intermediate
7519,7807,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccccc2C(F)(F)F)c1,256.0,inactive,0,intermediate
7520,7808,O=[N+]([O-])c1ccc(O)c(/C=N/c2cccc(C(F)(F)F)c2)c1,256.0,inactive,0,intermediate
7521,7809,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccc(C(F)(F)F)cc2)c1,256.0,inactive,0,intermediate
7522,7810,O=C(O)c1cccc(/N=C/c2cc([N+](=O)[O-])ccc2O)c1,64.0,inactive,0,intermediate
7523,7811,O=[N+]([O-])c1ccc(O)c(/C=N/C2CCCCC2)c1,256.0,inactive,0,intermediate
7524,7812,O=[N+]([O-])c1ccc(O)c(/C=N/c2cccc3ccccc23)c1,128.0,inactive,0,intermediate
7525,7813,C#Cc1cccc(NCc2cc([N+](=O)[O-])ccc2O)c1,128.0,inactive,0,intermediate
7526,7814,O=[N+]([O-])c1ccc(O)c(CNc2ccccc2)c1,256.0,inactive,0,intermediate
7527,7815,CC(C)(C)c1ccccc1NCc1cc([N+](=O)[O-])ccc1O,256.0,inactive,0,intermediate
7528,7816,CC(C)(C)c1cccc(NCc2cc([N+](=O)[O-])ccc2O)c1,256.0,inactive,0,intermediate
7529,7817,CC(C)(C)c1ccc(NCc2cc([N+](=O)[O-])ccc2O)cc1,256.0,inactive,0,intermediate
7530,7818,O=[N+]([O-])c1ccc(O)c(CNc2ccccc2O)c1,128.0,inactive,0,intermediate
7531,7819,O=[N+]([O-])c1ccc(O)c(CNc2cccc(O)c2)c1,256.0,inactive,0,intermediate
7532,7820,O=[N+]([O-])c1ccc(O)c(CNc2ccccc2Cl)c1,128.0,inactive,0,intermediate
7533,7821,O=[N+]([O-])c1ccc(O)c(CNc2cccc(Cl)c2)c1,128.0,inactive,0,intermediate
7534,7822,O=[N+]([O-])c1ccc(O)c(CNc2ccc(Cl)cc2)c1,256.0,inactive,0,intermediate
7535,7823,O=[N+]([O-])c1ccc(O)c(CNc2ccccc2C(F)(F)F)c1,128.0,inactive,0,intermediate
7536,7824,O=[N+]([O-])c1ccc(O)c(CNc2cccc(C(F)(F)F)c2)c1,64.0,inactive,0,intermediate
7537,7825,O=[N+]([O-])c1ccc(O)c(CNc2ccc(C(F)(F)F)cc2)c1,32.0,active,1,intermediate
7538,7826,O=C(O)c1cccc(NCc2cc([N+](=O)[O-])ccc2O)c1,256.0,inactive,0,intermediate
7539,7827,O=[N+]([O-])c1ccc(O)c(CNC2CCCCC2)c1,256.0,inactive,0,intermediate
7540,7828,O=[N+]([O-])c1ccc(O)c(CNc2cccc3ccccc23)c1,256.0,inactive,0,intermediate
7541,7829,C#Cc1cccc(/N=C/c2cc(C(=O)OC)ccc2O)c1,64.0,inactive,0,intermediate
